0.87,0.37,0.36,0.33,0.28
0.87,0.39,0.35,0.34,0.33
0.91,0.59,0.35,0.31,0.26,0.25
0.89,0.4,0.34,0.34
0.94,0.39,0.33,0.3,0.28,0.27
0.91,0.37,0.36,0.33,0.3,0.3
0.88,0.36,0.35,0.31,0.31,0.3
0.9,0.36,0.32,0.31,0.29,0.29
0.85,0.52,0.43,0.3,0.28
0.76,0.62,0.33,0.33,0.29
0.77,0.52,0.35
0.72,0.61,0.42,0.34,0.31,0.31
0.72,0.68,0.5,0.49,0.26
0.74,0.51,0.48,0.43,0.42,0.34
0.63,0.6,0.51
0.8,0.72,0.59,0.58,0.49,0.38
0.89,0.85,0.82,0.8,0.66,0.51
0.91,0.85,0.83,0.81,0.5,0.45
0.89,0.85,0.83,0.78,0.56,0.56
0.87,0.85,0.82,0.8,0.68,0.54
0.87,0.86,0.81,0.8,0.73,0.59
0.86,0.84,0.83,0.77,0.56,0.54
0.89,0.85,0.83,0.77,0.75,0.58
0.88,0.82,0.82,0.68,0.68,0.52
0.89,0.83,0.8,0.7,0.67,0.55
0.88,0.85,0.79,0.71,0.66,0.41
0.9,0.84,0.83,0.7,0.54,0.51
0.87,0.81,0.77,0.75,0.75,0.49
0.9,0.83,0.77,0.72,0.66,0.35
0.89,0.86,0.78,0.77,0.76,0.52
0.87,0.87,0.83,0.8,0.76,0.46
0.86,0.84,0.77,0.75,0.51,0.48
0.86,0.83,0.76,0.73,0.55,0.47
0.85,0.79,0.79,0.7,0.54,0.49
0.84,0.81,0.72,0.71,0.63,0.48
0.88,0.84,0.79,0.61,0.6,0.55
0.89,0.83,0.74,0.67,0.61,0.45
0.87,0.84,0.69,0.67,0.57,0.41
0.87,0.86,0.78,0.71,0.52,0.5
0.88,0.85,0.75,0.73,0.72,0.51
0.86,0.83,0.74,0.69,0.62,0.5
0.88,0.87,0.79,0.78,0.64,0.53
0.9,0.88,0.81,0.79,0.65,0.57
0.89,0.87,0.8,0.8,0.67,0.65
0.9,0.86,0.83,0.82,0.63,0.58
0.88,0.86,0.83,0.83,0.59,0.49
0.88,0.84,0.82,0.82,0.74,0.49
0.9,0.85,0.85,0.85,0.77,0.52
0.93,0.86,0.85,0.84,0.77,0.61
0.92,0.88,0.82,0.82,0.7,0.67
0.91,0.89,0.84,0.77,0.58,0.52
0.91,0.86,0.84,0.79,0.59,0.56
